product_name,type,size,date,product_id,base_price,current_price
Product 1,Type 2,Extra Large,2024-06-11,1,9.867745460011065,9.42
Product 1,Type 2,Extra Large,2024-06-13,1,9.867745460011065,9.37
Product 1,Type 2,Extra Large,2024-06-14,1,9.867745460011065,9.48
Product 1,Type 2,Extra Large,2024-06-15,1,9.867745460011065,9.9
Product 1,Type 2,Extra Large,2024-06-18,1,9.867745460011065,9.61
Product 1,Type 2,Extra Large,2024-06-19,1,9.867745460011065,9.41
Product 1,Type 2,Extra Large,2024-06-20,1,9.867745460011065,9.45
Product 1,Type 2,Extra Large,2024-06-22,1,9.867745460011065,9.93
Product 1,Type 2,Extra Large,2024-06-23,1,9.867745460011065,9.62
Product 1,Type 2,Extra Large,2024-06-24,1,9.867745460011065,9.65
Product 1,Type 2,Extra Large,2024-06-25,1,9.867745460011065,10.1
Product 1,Type 2,Extra Large,2024-06-26,1,9.867745460011065,9.52
Product 1,Type 2,Extra Large,2024-06-27,1,9.867745460011065,9.14
Product 1,Type 2,Extra Large,2024-06-28,1,9.867745460011065,10.16
Product 1,Type 2,Extra Large,2024-06-29,1,9.867745460011065,9.36
Product 1,Type 2,Extra Large,2024-07-01,1,9.867745460011065,9.4
Product 1,Type 2,Extra Large,2024-07-03,1,9.867745460011065,9.63
Product 1,Type 2,Extra Large,2024-07-04,1,9.867745460011065,9.51
Product 1,Type 2,Extra Large,2024-07-05,1,9.867745460011065,9.62
Product 1,Type 2,Extra Large,2024-07-09,1,9.867745460011065,9.2
Product 1,Type 2,Extra Large,2024-07-10,1,9.867745460011065,9.72
Product 1,Type 2,Extra Large,2024-07-11,1,9.867745460011065,9.63
Product 1,Type 2,Extra Large,2024-07-12,1,9.867745460011065,10.59
Product 1,Type 2,Extra Large,2024-07-13,1,9.867745460011065,9.33
Product 1,Type 2,Extra Large,2024-07-15,1,9.867745460011065,9.73
Product 1,Type 2,Extra Large,2024-07-16,1,9.867745460011065,9.37
Product 1,Type 2,Extra Large,2024-07-17,1,9.867745460011065,9.38
Product 1,Type 2,Extra Large,2024-07-18,1,9.867745460011065,9.31
Product 1,Type 2,Extra Large,2024-07-20,1,9.867745460011065,9.61
Product 1,Type 2,Extra Large,2024-07-22,1,9.867745460011065,8.96
Product 1,Type 2,Extra Large,2024-07-23,1,9.867745460011065,9.58
Product 1,Type 2,Extra Large,2024-07-24,1,9.867745460011065,9.31
Product 1,Type 2,Extra Large,2024-07-25,1,9.867745460011065,9.36
Product 1,Type 2,Extra Large,2024-07-27,1,9.867745460011065,10.15
Product 1,Type 2,Extra Large,2024-07-31,1,9.867745460011065,9.29
Product 1,Type 2,Extra Large,2024-08-01,1,9.867745460011065,10.2
Product 1,Type 2,Extra Large,2024-08-02,1,9.867745460011065,11.14
Product 1,Type 2,Extra Large,2024-08-03,1,9.867745460011065,9.85
Product 1,Type 2,Extra Large,2024-08-05,1,9.867745460011065,9.86
Product 1,Type 2,Extra Large,2024-08-07,1,9.867745460011065,9.3
Product 1,Type 2,Extra Large,2024-08-08,1,9.867745460011065,10.55
Product 1,Type 2,Extra Large,2024-08-09,1,9.867745460011065,10.53
Product 1,Type 2,Extra Large,2024-08-11,1,9.867745460011065,9.87
Product 1,Type 2,Extra Large,2024-08-12,1,9.867745460011065,9.64
Product 1,Type 2,Extra Large,2024-08-16,1,9.867745460011065,9.79
Product 1,Type 2,Extra Large,2024-08-17,1,9.867745460011065,9.17
Product 1,Type 2,Extra Large,2024-08-20,1,9.867745460011065,9.71
Product 1,Type 2,Extra Large,2024-08-21,1,9.867745460011065,9.78
Product 1,Type 2,Extra Large,2024-08-22,1,9.867745460011065,9.78
Product 1,Type 2,Extra Large,2024-08-23,1,9.867745460011065,9.18
Product 1,Type 2,Extra Large,2024-08-24,1,9.867745460011065,9.78
Product 1,Type 2,Extra Large,2024-08-25,1,9.867745460011065,10.29
Product 1,Type 2,Extra Large,2024-08-26,1,9.867745460011065,10.22
Product 1,Type 2,Extra Large,2024-08-27,1,9.867745460011065,10.14
Product 1,Type 2,Extra Large,2024-08-31,1,9.867745460011065,9.84
Product 1,Type 2,Extra Large,2024-09-03,1,9.867745460011065,10.37
Product 1,Type 2,Extra Large,2024-09-04,1,9.867745460011065,9.62
Product 1,Type 2,Extra Large,2024-09-06,1,9.867745460011065,9.3
Product 1,Type 2,Extra Large,2024-09-08,1,9.867745460011065,10.35
Product 1,Type 2,Extra Large,2024-09-09,1,9.867745460011065,10.93
Product 1,Type 2,Extra Large,2024-09-10,1,9.867745460011065,10.08
Product 1,Type 2,Extra Large,2024-09-11,1,9.867745460011065,9.63
Product 1,Type 2,Extra Large,2024-09-12,1,9.867745460011065,9.9
Product 1,Type 2,Extra Large,2024-09-13,1,9.867745460011065,9.62
Product 1,Type 2,Extra Large,2024-09-14,1,9.867745460011065,9.45
Product 1,Type 2,Extra Large,2024-09-16,1,9.867745460011065,9.42
Product 1,Type 2,Extra Large,2024-09-17,1,9.867745460011065,9.95
Product 1,Type 2,Extra Large,2024-09-18,1,9.867745460011065,10.05
Product 1,Type 2,Extra Large,2024-09-19,1,9.867745460011065,9.84
Product 1,Type 2,Extra Large,2024-09-20,1,9.867745460011065,9.77
Product 1,Type 2,Extra Large,2024-09-21,1,9.867745460011065,9.54
Product 1,Type 2,Extra Large,2024-09-22,1,9.867745460011065,9.31
Product 1,Type 2,Extra Large,2024-09-25,1,9.867745460011065,10.28
Product 1,Type 2,Extra Large,2024-09-26,1,9.867745460011065,9.25
Product 1,Type 2,Extra Large,2024-09-27,1,9.867745460011065,9.95
Product 1,Type 2,Extra Large,2024-09-29,1,9.867745460011065,9.85
Product 1,Type 2,Extra Large,2024-09-30,1,9.867745460011065,9.77
Product 1,Type 2,Extra Large,2024-10-01,1,9.867745460011065,9.48
Product 1,Type 2,Extra Large,2024-10-02,1,9.867745460011065,10.9
Product 1,Type 2,Extra Large,2024-10-03,1,9.867745460011065,10.24
Product 1,Type 2,Extra Large,2024-10-04,1,9.867745460011065,10.78
Product 1,Type 2,Extra Large,2024-10-05,1,9.867745460011065,9.91
Product 1,Type 2,Extra Large,2024-10-06,1,9.867745460011065,9.55
Product 1,Type 2,Extra Large,2024-10-09,1,9.867745460011065,9.98
